Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
219-15,Fenton,GA,DeKalb,"Kellogg St., Dunwoody",W15-405,Red Fox,2015,1,Male,<6 mths,1.8 kg,Trauma,Rabies and canine distemper viruses were not detected.,05/20/15,06/04/2015,Von Seggern,GADNR,
252-17,Dalton,KS,Wallace,Sharon Springs,-,Red Fox,2017,1,Female,Juvenile,1.6 kg,Trauma; rabies virus and canine distemper virus not detected,,05/17/17,05/30/17,Athen,KSDWPT,
665-18,Dalton,WV,Ritchie,Smithville,W19-313,Red Fox,2018,1,Female,Young adult,2.9 kg,Trauma; Sarcoptic mange,Rabies and canine distemper viruses were not detected.,12/04/2018,12/12/2018,Crum,WVDNR,
221-15,Fenton,KY,Woodford,"Versailles, Seller's Mill Road and Ford's Mill Road",W15-407,Red Fox,2015,1,Male,Adult,3.3 kg,Trauma; sarcoptic mange (Sarcoptes scabiei),Rabies and canine distemper virus were not detected.,05/21/15,06/17/15,Stasiak,KYDFWR,
355-19,Dugovich,GA,Gwinnett,"Wood Springs Court, Lilburn",W19-768,Red Fox,2019,1,Female,Adult,Unknown,Undetermined,No evidence of rabies or distemper virus infection. Toxicology testing ruled out exposure to anticoagulant rodenticides.,07/15/19,08/20/19,Reese/Johannsen,GADNR,
329-18,Niedringhaus,WV,Randolph,Mabie,W19-048,Red Fox,2018,1,Male,Juvenile,3.14 kg,Undetermined; verminous pneumonia (consistent with Angiostrongylus vascorum),Rabies and canine distemper viruses were not detected.,07/31/18,09/20/18,Crum,WVDNR,
876-19,Weyna,KS,,"37.969700, -00.859192",,Red Fox,2019,1,Female,8 mths,10 lbs,,,11/21/19,,Meier/Hesting,KSDWPT,
959-19,Radisic,VA,Spotsylvania,Spotsylvania Courthouse,,Red Fox,2019,1,Unknown,Unknown,Unknown,,,12/18/19,,Dye/ Kirchgessner,VADGIF,
750-17,Bahnson,VA,Mecklenburg,Currin Farm,W18-321 - W18-323,"Red Fox, Opossum, Cooper's Hawk, Raccoon",2017,4,"A, D: Male. B: Unknown. C: Female.",Adult,A: 4.88 kg. B: 1.75 kg. C: 625 g. D: 5.17 kg.,A-D: Carbofuran toxicosis,Canine distemper and rabies viruses were not detected in the fox or raccoon.,12/06/2017,01/29/18,Martin/Kirchgessner,VADGIF,
320-17,Ruder,CA,Stanislaus,San Joaquin River National Wildlife Refuge,W18-018-W18-023,Riparian Brush Rabbit,2017,13,Both,Adult,365-580 g,"A-E, I-M: Undetermined (possible starvation).  J and M: Trauma.  M: Plant alkaloid exposure (coniine)","Rabies F, G, and H were retained frozen.",07/06/2017,08/28/17,Takahashi,USFWS,
288-17,Bryan,LA,Jefferson,Unknown,W17-712,River Otter,2017,1,Female,2-3 mths,Unknown,Interstitial pneumonia; hepatic lipidosis; splenic lymphoid depletion,#OTTR-JF-Jefferson-8June2017.  Rabies and canine distemper viruses were not detected.,06/13/17,08/14/17,Anderson/LaCour,LADWF,
520-16,Bahnson,LA,West Feliciana,Fancy Point HC,W17-180,River Otter,2016,1,Male,Adult,2.75 kg,Undetermined,#Otter_W.Fel_19Sept16. Canine distemper virus was not detected.,09/21/16,11/21/16,Anderson/LaCour,LADWF,
696-18,Kunkel,LA,Rapides,Private property,W19-337,Southern Flying Squirrel,2018,3,"A, B: Male. C: Female. ",Adult,A: 68.58 g. B: 67.73 g. C: 50.48 g,"A, B, and C: Apparently healthy (no significant lesions)",A: #VET2-RFSQ1. B: #VET2-RFSQ2. C: #VET2-RFSQ3.  Rickettsia prowazekii (flying squirrel typhus fever) was not detected.,12/14/18,01/22/19,Berry,LADWF,
095-16,Bryan,KY,Breckinridge,"Yellowbank Wildlife Management Area, Tract 1",W16-527,Southern Flying Squirrel,2016,1,Male,Adult,54.4 g,Undetermined; suspect trauma,#KDFWR-W-2016-17.  Infection with Francisella tularensis was not detected.,02/19/16,03/28/16,Taylor/Stasiak,KYDFWR,
362-17,Niedringhaus,LA,DeSoto,"A: Ferguson Road, Gloster. B: Smyrna. C: Hall Road, Stonewall. D&E: Blunt Mill Road",W18-062 - W18-064,Striped Skunk,2017,5,Unknown,Unknown,Unknown,"A and C: Rabies.  B, D, and E: Undetermined", A: SKNK-UU-Gloster/DeSoto-UU2017.   B: SKNK-UU-Smyrna/DeSoto-UU2017. C: SKNK-UU-Stonewall/DeSotoa-UU2017. D: SKNK-UU-Blunt Mill2/DeSoto-UU2017. E: SKNK-UU-Blunt Mill/DeSota-UU2017.  Canine distemper virus was not detected in any of the skunks.,07/27/17,09/13/17,Anderson/LaCour,LADWF, 
380-19,Dugovich,NE,Box Butte,23 NW of Alliance,W19-779,Striped Skunk,2019,2,A: Female. B: Male,A: Adult. B: Juvenile.,A: 1.39 kg. B: 0.56 kg,A&B: Rabies and distemper virus negative; no abnormalities evident,#SK-NW071919,07/23/19,09/09/2019,Powell,NEGPC,
066-16,Niedringhaus,KY,A: Ohio. B: Muhlenberg,37 18 4.5: 87 20 16,W16-480,Striped Skunk,2016,2,Male,Adult,2.4 kg,A&B: Suspect trauma due to vehicular injury (per submitter),#KDFWR-W-2016-10.  Rabies and canine distemper viruses were not detected in skunk B.  Extremely poor postmortem condition,02/02/2016,03/04/2016,"Williams, Stasiak",KYDFWR,
300-17,Bryan,LA,DeSoto,A: Rambin. B: Lake Road. C: Cathey. D: Long. E: Goldsby. F: Hwy 171.,-,Striped Skunk,2017,6,Unknown,Unknown,Unknown,"A, B, D, E, and F: Rabies.  Canine distemper virus was not detected in any skunk",A: SKNK-UU-DeSoto/Goldsby-UU2017. B: SKNK-UU-DeSoto/LakeRoad-UU2017.  C: SKNK-UU-DeSoto/Ramblin-UU2017.  D: SKNK-UU-DeSoto/Cathey-UU2017.  E: SKNK-UU-DeSoto/Long-UU2017.  F: SKNK-UU-DeSoto/HWY171-UU2017.,06/15/17,08/28/17,Anderson/LaCour,LADWF,
551-15,Niedringhaus,KY,Jefferson,Unknown,W16-301,Striped Skunk,2015,1,Male,Adult,Unknown,Canine distemper,#KDFWR-W-2015-52.  Rabies not detected,10/08/2015,10/22/15,Stasiak,KYDFWR,
138-16,Niedringhaus,KY,Madison,Richmond,W16-585,Striped Skunk,2016,1,Male,Juvenile,1.9 kg,Canine distemper,#KDFWR-W-2016-26. Rabies not detected,03/11/2016,04/01/2016,Stasiak,KYDFWR,
139-16,Niedringhaus,KY,Fayette,Kentucky Horse Park,W16-586,Striped Skunk,2016,1,Male,Adult,2.3 kg,Canine distemper,#KDFWR-W-2016-27.  Rabies not detected,03/11/2016,04/01/2016,Stasiak,KYDFWR,
149-16,Fenton,KY,McLean,Hwy 1155,W16-596,Striped Skunk,2016,1,Male,Juvenile,1.9 kg,Canine distemper,#KDFWR-W-2016-28. Rabies not detected,03/16/16,04/07/2016,"Young, Stasiak",KYDFWR,
183-16,Ruder,KY,Fayette,"Kentucky Horse Park, Lexington",W16-645,Striped Skunk,2016,1,Female,Adult,1.46 kg,Canine distemper,#KDFWR-W-2016-48 Rabies not detected,04/05/2016,06/13/16,Stasiak,KYDFWR,
273-17,Niedringhaus,KY,Oldham,Prospect,W17-681,Striped Skunk,2017,1,Female,Adult,1.14 kg,Canine distemper,#KDFWR-W-2017-26.  No rabies virus was detected.,06/02/2017,06/26/17,Nally/Stasiak,KYDFWR,
222-19,Kunkel,LA,St. Tammany,"30.425699, -90.131693",W19-616,Striped Skunk,2019,1,Male,Juvenile,0.67 kg,Canine distemper,#SKUNK-JU-StTammany-13May2019. Rabies virus was not detected.,05/14/19,06/13/19,Burks/LaCour,LADWF,
348-15,Niedringhaus,KS,Sherman,39.334420N 101.705851W SE side of Goodland,W16-80,Striped Skunk,2015,1,Female,Adult,1.36 kg,Canine distemper virus,Rabies not detected,08/05/2015,09/16/15,Meier,KSDWPT,
402-15,Niedringhaus,PA,Bradford,"N41.654218, W-76.845349",W16-142,Striped Skunk,2015,1,Unknown,Adult,Unknown,Canine distemper virus,#15NE0011,08/27/15,09/18/15,Brown,PAGC,
582-15,Niedringhaus,KY,Franklin,Salato Wildlife Center,W16-334,Striped Skunk,2015,1,Female,Adult,1.02 kg,Canine distemper virus,#KDFWR-W-2015-59.  Rabies not detected,10/27/15,11/24/15,Stasiak,KYDFWR,
611-15,Ruder,GA,Walker,Rhinehart Road,W16-349,Striped Skunk,2015,1,Male,Adult,1.6 kg,Canine distemper with protozoal encephalitis,Rabies not detected,11/10/2015,01/25/16,Gregory,GADNR,
186-16,Ruder,MO,Cole,T44NR11WS25,W16-648,Striped Skunk,2016,1,Male,Adult,1.5 kg,"Canine distemper with pulmonary toxoplasmosis, filarial dermatitis and inner ear infection",#16036. Rabies not detected,04/05/2016,06/06/2016,Straka,MODOC,
251-18,Bahnson,KY,Franklin,"38.318324, -84.852093",W18-591,Striped Skunk,2018,1,Female,Adult,1.5 kg,Leptospirosis detected,"Rabies virus, canine distemper virus, and Toxoplasma spp. was not detected.",06/15/18,08/17/18,Rhoden,KYDFWR,
405-19,Kunkel,KS,Osage,Osage City Football Field,W19-793,Striped Skunk,2019,1,Male,Juvenile,505 g,No apparent abnormalities; Rabies virus and canine distemper virus were not detected.,,08/01/2019,09/17/19,Koch/ Hesting,KSDWPT,
229-15,Bryan,KY,Franklin,Unknown,W15-413,Striped Skunk,2015,1,Female,Adult,Unknown,"Pneumonia, myocarditis, and gastric nematodiasis",Rabies and canine distemper viruses were not detected.,05/27/15,08/17/15,Stasiak,KYDFWR,
226-19,Kunkel,LA,Desoto,"Peyton Street, Grand Cane",W19-624,Striped Skunk,2019,1,Male,Adult,1.4 kg,Pulmonary sarcocystosis (Sarcoystis speeri detected; Rabies virus not detected,Canine distemper virus was not detected.,05/16/19,06/16/19,Hasapes/LaCour,LADWF,
349-14 Addendum,Niedringhaus,KS,Lyon,"Backyard at 2431 Westview Terrace, Emporia",W15-131,Striped Skunk,2014,1,Male,Adult,Unknown,Rabies,Antigenic typing and sequence analysis was consistent with a rabies virus variant found in skunks in the South Central USA.,10/04/2014,12/12/2014,Hesting,KSDWPT,
349-14,Niedringhaus,KS,Lyon,"Backyard at 2431 Westview Terrace, Emporia",W15-131,Striped Skunk,2014,1,Male,Adult,Unknown,Rabies,Canine distemper virus not detected,10/04/2014,12/08/2014,Hesting,KSDWPT,
071-15,Niedringhaus,KY,Jessamine,"4970 Keene Rd., Versailles",W15-270,Striped Skunk,2015,1,Female,Adult,Unknown,Rabies,Canine distemper virus not detected,03/03/2015,04/20/15,,,
350-15,Niedringhaus,KS,Lyon,"38.264571 -96.16516, Olpe",W16-81,Striped Skunk,2015,1,Female,Adult,1.61 kg,Rabies,Canine distemper virus was not detected. ,08/06/2015,09/25/15,Hesting,KSDWPT,
156-16,Bahnson,KS,Mitchell,"Lake Drive, Cawkee City",W16-601,Striped Skunk,2016,1,Unknown,Unknown,Unknown,Rabies,Canine distemper virus was not detected.,03/22/16,04/07/2016,Hesting,KSDWPT,
205-16,Bryan,KS,Lyon,Northern Heights High School,W16-641,Striped Skunk,2016,1,Female,Adult,1.4 kg,Rabies,Canine distemper virus was not detected.,04/15/16,06/20/16,Hesting,KSDWPT,
652-18,Niedringhaus,KS,Lyon,"38.413516, -96.040037",W19-298,Striped Skunk,2018,1,Male,Adult,3.485 kg (wet),Rabies,Canine distemper virus was not detected.,11/27/18,12/14/18,Hesting,KSDWPT,
116-19,Niedringhaus,KS,Coffey,"Old Hwy 50, Lebo; 38.404259, -95.739935",W19-511,Striped Skunk,2019,1,Unknown,Unknown,Unknown,Rabies,Canine distemper virus was not detected.,03/12/2019,04/15/19,Hesting,KSDWPT,
190-19,Dalton,KS,Finney,"37.963839, -100.879905",W19-579,Striped Skunk,2019,1,Male,Adult,2.2 kg,Rabies,Strain consistent with the rabies virus variant found in skunks in the south central United States.,04/23/19,05/23/19,Meier/Hesting,KSDWPT,
219-19,Niedringhaus,LA,DeSoto,"Highway 5, Gloster",W19-614,Striped Skunk,2019,1,Female,Adult,Unknown,Rabies,Canine distemper virus was not detected.,05/09/2019,05/21/19,Hasapes/LaCour,LADWF,
402-19,Kunkel,KS,Thomas,"39.156196, -101.261786",W19-790,Striped Skunk,2019,1,Male,Adult,3.1 kg,Rabies,,07/31/19,09/09/2019,Athen,KSDWPT,
426-19,Weyna,KS,Sherman,"Colorado, Goodland",W19-814,Striped Skunk,2019,1,Female,Subadult,1.22 kg,Rabies,,08/06/2019,09/09/2019,Hopper/ Smith,KSDWPT,
238-16,Bryan,KY,Campbell,Southgate,W16-716,Striped Skunk,2016,1,Female,Subadult,1.5 kg,Suspect canine distemper,#KDFWR-W-2016-72.  Rabies not detected,05/04/2016,07/06/2016,Stasiak,KYDFWR,
242-16,Bryan,MO,Boone,"Ben Williams Rd., Columbia",W16-719,Striped Skunk,2016,1,Female,Juvenile,1.3 kg,Suspect canine distemper; subcutaneous abscess (Salmonella enterica serovar Typhimurium,#16059. Rabies and canine distemper virus not detected,05/04/2016,06/28/16,Straka,MODOC,
097-16,Bahnson,KY,Meade,Junction of Hwy 313 and US 60,W16-529,Striped Skunk,2016,1,Male,Adult,Unknown,Trauma,#KDFWR-W-2016-20.  Rabies and canine distemper viruses were not detected.,02/23/16,03/22/16,Logsdon/Stasiak,KYDFWR,
061-16,Niedringhaus,KY,Unknown,38.0678. 84.8203,W16-479,Striped Skunk,2016,1,Female,Adult,2.1 kg,Trauma and canine distemper,#KDFWR-W-2016-13.  Rabies not detected,02/02/2016,03/04/2016,Stasiak,KYDFWR,
058-14,Ballard,GA,Clarke,Georgia State Route 10,W14-08,Striped Skunk,2014,1,Female,Adult,1.6 kg,"Trauma; Moderate interstitial nephritis, Leptospira sp. detected",Negative for rabies and canine distemper virus,02/06/2014,04/02/2014,Schnellbacher,UGA,
690-16,Bahnson,KS,Pottawatomie,"Walnut and North Street, Westmoreland",W17-309,Striped Skunk,2016,1,Unknown,Unknown,Unknown,Undetermined (mild encephalitis of unknown origin),Rabies and canine distemper virus were not detected.,12/08/2016,01/30/17,Henry,KSDWPT,
132-17,Ruder,KS,Russell,"184th Road, 38.710310,       -98.875970",W17-533,Striped Skunk,2017,1,Female,Adult,Unknown,Undetermined (no evidence of rabies virus),Canine distemper virus was not detected.,03/08/2017,04/12/2017,Svaty/Hesting,KSDWPT,
185-16,Ruder,MO,Cole,T43NR12WS03,W16-647,Striped Skunk,2016,1,Female,Adult,~1 kg,Uterine infection (pyometra; Staphylococcus pseudointermedius isolated),#16035.  Rabies and canine distemper virus were not detected.,04/05/2016,07/11/2016,Straka,MODOC,
075-18,Niedringhaus,KY,A: Boyd. B: Lawrence.,"A: N38.25721, W-82.58426. B: N38.0947, W-82.64015.",-,Stripped Skunk,2018,2,Female,Adult,Unknown,A: Non-diagnostic sample. B: Rabies virus not detected.,"#KDFWR-W-2017-102 A&B.  Due to the trauma to the skull, no discernable brain material was observed in skunk A.",02/28/18,03/06/2018,Stasiak,KYDFWR,
089-18,Bahnson,KY,Jefferson,"Stonebridge Road, Louisville",W18-405,Stripped Skunk,2018,1,Female,Adult,1.52 kg,Canine distemper,#KDFWR-W-2018-19. Rabies not detected,03/09/2018,03/19/18,Palmer/Stasiak,KYDFWR,
041-18,Dalton,KS,Thomas,North Hwy 25,W18-358,Stripped Skunk,2018,1,Male,Adult,4.0 kg,Trauma suspected. Pulmonary and meningeal hemorrhage. Rabies virus and canine distemper virus not detected.,,02/02/2018,02/12/2018,Hesting,KSDWPT,
647-17,Bahnson,LA,East Feliciana,Zachary,W18-186,Stripped Skunk,2017,1,Female,Juvenile,0.9 kg,Undetermined,#SKNK-JF-EastFeliciana-18October2017. Canine distemper virus was not detected.,10/20/17,12/13/17,Anderson/LaCour,LADWF,
543-16,Niedringhaus,KY,Pulaski,"370536.65, -844812.75",W17-191,Virginia Opossum,2016,1,Female,Adult,2.875 kg,Anticoagulant rodenticide toxicosis (difethialone detected),#KDFWR-W-2016-93.  Liver lead level was 71 PPB.,09/29/16,11/21/16,Catron/Stasiak,KYDFWR,
325-16,Niedringhaus,LA,Iberville,St. Gabriel,W17-001,Virginia Opossum,2016,1,Male,Juvenile,1.83 kg,Emaciation; besnoitiosis,Rabies and canine distemper virus were not detected.,06/28/16,08/02/2016,LaCour,LADWF,
568-15,Bahnson,MO,Callaway,Fulton,W16-321,Virginia Opossum,2015,1,Female,Adult,2.50 kg,Gastric nematodiasis with perforation and bacterial sepsis (Streptococcus isolated); Emaciation,#15167.  Rabies and canine distemer virus not detected,10/20/15,11/06/2015,Straka,MODOC,
884-19,Weyna,KY,Calloway,Unknown,W19-1042,Virginia Opossum,2019,1,Female,Unknown,Unknown,Pulmonary nematodiasis (consistent with Didelphostrongylus hayesi),#KDFWR-W-2019-121,11/22/19,01/02/2020,Casey,KYDFWR,
282-15,Elsmo,KS,Lyon,"Morningside, 38.426428,      -96.196961",W16-05,Virginia Opossum,2015,1,Male,Juvenile,0.8 kg,Trauma; Bacterial sepsis,Rabies and arboviruses were not detected.,06/30/15,08/07/2015,Hesting,KSDWPT,
505-19,Radisic,NE,Box Butte,Alliance,W19-834,Virginia Opossum,2019,1,Female,Adult,3.84 kg,Trauma; biliary tumor (incidental),#Possum-NW08262019.  Rabies virus was not detected.,08/27/19,09/09/2019,Hafer/Nordeen,NEGPC,
057-14,Ballard,KS,Lyon,1814 Road 75,,Virginia Opossum,2014,1,Male,Adult,1.2 kg,Undetermined,Negative for rabies and canine distemper viruses,02/04/2014,03/11/2014,Hesting,KSDWPT,
527-15,Niedringhaus,NC,Henderson,"Loop Road, Hendersonville",-,Virginia Opossum,2015,1,Female,Adult,2.04 kg,Undetermined,Extremely poor postmortem condition precluded microscopic analysis,10/05/2015,11/24/15,McVey,NCWRC,
108-16,Bahnson,KS,Russell,City of Russell,W16-545,Virginia Opossum,2016,1,Male,Adult,3.17 kg,Undetermined; Salmonella spp. detected,Rabies and canine distemper viruses not detected.,02/26/16,04/01/2016,Cikanek/Hesting,KSDWPT,
